"PXD"	"size"
"PXD000603"	194.924
"PXD000651"	5384.706
"PXD000652"	8009.663
"PXD000653"	1082.516
"PXD000654"	9490.823
"PXD000655"	660.699
"PXD000656"	848.238
"PXD000657"	7784.522
"PXD000944"	5802.325
"PXD001694"	8356.573
"PXD002117"	19920.838
"PXD002211"	841.727
"PXD002212"	677.965
"PXD002523"	1331.298
"PXD002614"	2979.839
"PXD003271"	28214.178
"PXD003406"	3332.072
"PXD003407"	3579.686
"PXD003408"	2342.405
"PXD003409"	2542.141
"PXD003410"	510.395
"PXD003411"	450.165
"PXD003412"	2915.271
"PXD003413"	2324.755
"PXD003414"	1406.244
"PXD003415"	1801.067
"PXD003416"	838.937
"PXD003417"	832.197
"PXD003552"	13320.768
"PXD003965"	78.499
"PXD004051"	600.363
"PXD004280"	10739.707
"PXD004624"	312.185
"PXD004625"	206.595
"PXD004626"	172.535
"PXD004682"	4044.119
"PXD004818"	16985.326
"PXD004987"	4062.105
"PXD005150"	198.851
"PXD005733"	108.127
"PXD006552"	473.362
