"Dataset"	"Disease"	"Tissue"	"Sample"	"Replicate"	"ORF1p"	"ORF2p"	"ORF0"	"ORF1p_variants"	"ORF2p_variants"	"HERV_proteins"	"PTMs"	"Study"	"spectralSize"	"diseaseState"
"2"	"PXD000944"	"breast cancer"	"breast cell line"	1	1	0	0	0	"0"	"ORF2p_PA2_17_(64.436),ORF2p_HS_112_(18.315),ORF2p_HS_111_(6.821),ORF2p_PA2_14_(6.517)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"3"	"PXD000944"	"breast cancer"	"breast cell line"	2	1	48.6574450772986	43.4426229508197	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"4"	"PXD000944"	"breast cancer"	"breast cell line"	3	1	62.5	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"5"	"PXD000944"	"breast cancer"	"breast cell line"	4	1	0	0	0	"0"	"ORF2p_PA2_30_(65.217)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"6"	"PXD000944"	"breast cancer"	"breast cell line"	5	1	0	0	0	"0"	"ORF2p_HS_58_(2.958)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"7"	"PXD000944"	"breast cancer"	"breast cell line"	6	1	0	0	0	"ORF1p_HS_84_(3.75)"	"ORF2p_PA2_17_(12)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"8"	"PXD000944"	"breast cancer"	"breast cell line"	7	1	32.9719963866305	0	0	"ORF1p_HS_115_(4.559),ORF1p_HS_120_(4.559),ORF1p_PA2_3_(4.559),ORF1p_HS_37_(4.559)"	"ORF2p_PA2_31_(33.153)"	"P62684_(4.559)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"9"	"PXD000944"	"breast cancer"	"breast cell line"	8	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"10"	"PXD000944"	"breast cancer"	"breast cell line"	9	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"11"	"PXD000944"	"breast cancer"	"breast cell line"	10	1	0	0	0	"0"	"0"	"C9JL84_(8.163)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"12"	"PXD000944"	"breast cancer"	"breast cell line"	11	1	0	0	0	"0"	"ORF2p_PA2_14_(28.07)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"13"	"PXD000944"	"breast cancer"	"breast cell line"	12	1	0	0	0	"ORF1p_HS_116_(79.911),ORF1p_HS_39_(10.944),ORF1p_HS_102_(9.402)"	"ORF2p_PA3_1_(3.281)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"14"	"PXD000944"	"breast cancer"	"breast cell line"	13	1	0	0	0	"0"	"0"	"P63132_(31.429)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"15"	"PXD000944"	"breast cancer"	"breast cell line"	14	1	0	0	0	"0"	"ORF2p_HS_5_(54.217)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"16"	"PXD000944"	"breast cancer"	"breast cell line"	15	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"17"	"PXD000944"	"breast cancer"	"breast cell line"	16	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"18"	"PXD000944"	"breast cancer"	"breast cell line"	17	1	0	0	0	"0"	"ORF2p_HS_39_(26.667)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"19"	"PXD000944"	"breast cancer"	"breast cell line"	18	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
