"Dataset"	"Disease"	"Tissue"	"Sample"	"Replicate"	"ORF1p"	"ORF2p"	"ORF0"	"ORF1p_variants"	"ORF2p_variants"	"HERV_proteins"	"PTMs"
"2"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	1	1	0	0	0	"0"	"ORF2p_PA2_17_(64.436),ORF2p_HS_112_(18.315),ORF2p_HS_111_(6.821),ORF2p_PA2_14_(6.517)"	"0"	NA
"3"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	2	1	48.6574450772986	43.4426229508197	0	"0"	"0"	"0"	NA
"4"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	3	1	62.5	0	0	"0"	"0"	"0"	NA
"5"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	4	1	0	0	0	"0"	"ORF2p_PA2_30_(65.217)"	"0"	NA
"6"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	5	1	0	0	0	"0"	"ORF2p_HS_58_(2.958)"	"0"	NA
"7"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	6	1	0	0	0	"ORF1p_HS_84_(3.75)"	"ORF2p_PA2_17_(12)"	"0"	NA
"8"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	7	1	32.9719963866305	0	0	"ORF1p_HS_115_(4.559),ORF1p_HS_120_(4.559),ORF1p_PA2_3_(4.559),ORF1p_HS_37_(4.559)"	"ORF2p_PA2_31_(33.153)"	"P62684_(4.559)"	NA
"9"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	8	1	0	0	0	"0"	"0"	"0"	NA
"10"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	9	1	0	0	0	"0"	"0"	"0"	NA
"11"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	10	1	0	0	0	"0"	"0"	"C9JL84_(8.163)"	NA
"12"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	11	1	0	0	0	"0"	"ORF2p_PA2_14_(28.07)"	"0"	NA
"13"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	12	1	0	0	0	"ORF1p_HS_116_(79.911),ORF1p_HS_39_(10.944),ORF1p_HS_102_(9.402)"	"ORF2p_PA3_1_(3.281)"	"0"	NA
"14"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	13	1	0	0	0	"0"	"0"	"P63132_(31.429)"	NA
"15"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	14	1	0	0	0	"0"	"ORF2p_HS_5_(54.217)"	"0"	NA
"16"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	15	1	0	0	0	"0"	"0"	"0"	NA
"17"	"PXD000944"	"breast_cancer_or_breast_cancer_cell_line"	NA	16	1	0	0	0	"0"	"0"	"0"	NA
