"ORF1p"	"ORF2p"	"genomic_location"
"LINE_1_HS_1_ORF1p"	"LINE_1_HS_1_ORF2p"	"hg38_rmsk_L1HS range=chr10:109812438-109818457 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_10_ORF1p"	"LINE_1_HS_10_ORF2p"	"hg38_rmsk_L1HS range=chr10:19088602-19094618 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_100_ORF1p"	"LINE_1_HS_100_ORF2p"	"hg38_rmsk_L1HS range=chr10:33510846-33516876 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_101_ORF1p"	"LINE_1_HS_101_ORF2p"	"hg38_rmsk_L1HS range=chr10:5245355-5251383 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_102_ORF1p"	"LINE_1_HS_102_ORF2p"	"hg38_rmsk_L1HS range=chr10:98782942-98788971 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_103_ORF1p"	"LINE_1_HS_103_ORF2p"	"hg38_rmsk_L1HS range=chr11:109177495-109183526 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_104_ORF1p"	"LINE_1_HS_104_ORF2p"	"hg38_rmsk_L1HS range=chr11:24327952-24334001 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_105_ORF1p"	"LINE_1_HS_105_ORF2p"	"hg38_rmsk_L1HS range=chr11:36551607-36557636 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_106_ORF1p"	"LINE_1_HS_106_ORF2p"	"hg38_rmsk_L1HS range=chr11:78677773-78683802 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_107_ORF1p"	"LINE_1_HS_107_ORF2p"	"hg38_rmsk_L1HS range=chr11:90400068-90406098 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_108_ORF1p"	"LINE_1_HS_108_ORF2p"	"hg38_rmsk_L1HS range=chr11:93136639-93142673 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_109_ORF1p"	"LINE_1_HS_109_ORF2p"	"hg38_rmsk_L1HS range=chr11:93420987-93427031 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_11_ORF1p"	"LINE_1_HS_11_ORF2p"	"hg38_rmsk_L1HS range=chr11:95436217-95442246 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_110_ORF1p"	"LINE_1_HS_110_ORF2p"	"hg38_rmsk_L1HS range=chr12:126299024-126305038 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_111_ORF1p"	"LINE_1_HS_111_ORF2p"	"hg38_rmsk_L1HS range=chr12:54788574-54794627 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_112_ORF1p"	"LINE_1_HS_112_ORF2p"	"hg38_rmsk_L1HS range=chr12_GL383551v1_alt:71818-77832 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_113_ORF1p"	"LINE_1_HS_113_ORF2p"	"hg38_rmsk_L1HS range=chr12_GL383551v1_alt:91197-97228 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_114_ORF1p"	"LINE_1_HS_114_ORF2p"	"hg38_rmsk_L1HS range=chr13:29641707-29647706 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_115_ORF1p"	"LINE_1_HS_115_ORF2p"	"hg38_rmsk_L1HS range=chr14:63116707-63122735 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_116_ORF1p"	"LINE_1_HS_116_ORF2p"	"hg38_rmsk_L1HS range=chr14:70547291-70553322 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_117_ORF1p"	"LINE_1_HS_117_ORF2p"	"hg38_rmsk_L1HS range=chr15:54926082-54932099 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_118_ORF1p"	"LINE_1_HS_118_ORF2p"	"hg38_rmsk_L1HS range=chr15:70729745-70735160 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_119_ORF1p"	"LINE_1_HS_119_ORF2p"	"hg38_rmsk_L1HS range=chr15:87509892-87515920 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_12_ORF1p"	"LINE_1_HS_12_ORF2p"	"hg38_rmsk_L1HS range=chr16:16840518-16846556 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_120_ORF1p"	"LINE_1_HS_120_ORF2p"	"hg38_rmsk_L1HS range=chr16:18821267-18827058 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_121_ORF1p"	"LINE_1_HS_121_ORF2p"	"hg38_rmsk_L1HS range=chr16:33952565-33958612 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_122_ORF1p"	"LINE_1_HS_122_ORF2p"	"hg38_rmsk_L1HS range=chr16:83637253-83643296 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_13_ORF1p"	"LINE_1_HS_13_ORF2p"	"hg38_rmsk_L1HS range=chr16:9584491-9590522 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_14_ORF1p"	"LINE_1_HS_14_ORF2p"	"hg38_rmsk_L1HS range=chr16_KI270853v1_alt:2501427-2507460 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_15_ORF1p"	"LINE_1_HS_15_ORF2p"	"hg38_rmsk_L1HS range=chr17:9615986-9622015 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_16_ORF1p"	"LINE_1_HS_16_ORF2p"	"hg38_rmsk_L1HS range=chr17_GL383565v1_alt:54994-61004 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_17_ORF1p"	"LINE_1_HS_17_ORF2p"	"hg38_rmsk_L1HS range=chr18:37819738-37825798 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_18_ORF1p"	"LINE_1_HS_18_ORF2p"	"hg38_rmsk_L1HS range=chr18:50343960-50349987 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_19_ORF1p"	"LINE_1_HS_19_ORF2p"	"hg38_rmsk_L1HS range=chr18:70746550-70752581 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_2_ORF1p"	"LINE_1_HS_2_ORF2p"	"hg38_rmsk_L1HS range=chr18_GL383567v1_alt:51767-57794 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_20_ORF1p"	"LINE_1_HS_20_ORF2p"	"hg38_rmsk_L1HS range=chr18_GL383570v1_alt:131796-138074 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_21_ORF1p"	"LINE_1_HS_21_ORF2p"	"hg38_rmsk_L1HS range=chr1:118852352-118858380 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_22_ORF1p"	"LINE_1_HS_22_ORF2p"	"hg38_rmsk_L1HS range=chr1:174590324-174596379 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_23_ORF1p"	"LINE_1_HS_23_ORF2p"	"hg38_rmsk_L1HS range=chr1:187343765-187349794 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_24_ORF1p"	"LINE_1_HS_24_ORF2p"	"hg38_rmsk_L1HS range=chr1:187597672-187603699 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_25_ORF1p"	"LINE_1_HS_25_ORF2p"	"hg38_rmsk_L1HS range=chr1:209913772-209919823 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_26_ORF1p"	"LINE_1_HS_26_ORF2p"	"hg38_rmsk_L1HS range=chr1:237019468-237025494 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_27_ORF1p"	"LINE_1_HS_27_ORF2p"	"hg38_rmsk_L1HS range=chr1:247687174-247693204 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_28_ORF1p"	"LINE_1_HS_28_ORF2p"	"hg38_rmsk_L1HS range=chr1:71513699-71519742 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_29_ORF1p"	"LINE_1_HS_29_ORF2p"	"hg38_rmsk_L1HS range=chr1:80939204-80945257 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_3_ORF1p"	"LINE_1_HS_3_ORF2p"	"hg38_rmsk_L1HS range=chr1:84052390-84058406 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_30_ORF1p"	"LINE_1_HS_30_ORF2p"	"hg38_rmsk_L1HS range=chr1:86679081-86685111 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_31_ORF1p"	"LINE_1_HS_31_ORF2p"	"hg38_rmsk_L1HS range=chr20:12801018-12807044 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_32_ORF1p"	"LINE_1_HS_32_ORF2p"	"hg38_rmsk_L1HS range=chr20:7116195-7122199 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_33_ORF1p"	"LINE_1_HS_33_ORF2p"	"hg38_rmsk_L1HS range=chr20_GL383577v2_alt:109154-115202 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_34_ORF1p"	"LINE_1_HS_34_ORF2p"	"hg38_rmsk_L1HS range=chr21_GL383579v2_alt:152079-158104 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HS_35_ORF1p"	"LINE_1_HS_35_ORF2p"	"hg38_rmsk_L1HS range=chr22:28663284-28669315 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_HS_36_ORF1p"	"LINE_1_HS_36_ORF2p"	"hg38_rmsk_L1HS range=chr22:48985762-48991792 5'pad=0 3'pad=0 strand=- repeatMasking=none"
