Dataset	Disease	Tissue	Sample	Replicate	ORF1p	ORF2p	ORF0	ORF1p_variants	ORF2p_variants	HERV_proteins	PTMs
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	1	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	2	1	0	0	0	ORF1p_HS_110_(2.971),ORF1p_HS_39_(2.971)	ORF2p_HS_5_(2.971),ORF2p_HS_61_(2.971),ORF2p_HS_19_(2.971),ORF2p_PA2_20_(2.971),ORF2p_HS_39_(2.971),ORF2p_HS_106_(2.971),ORF2p_HS_60_(2.971)	Q9N2K0_(2.779)	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	3	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	4	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	5	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	6	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	7	1	0	0	0	ORF1p_PA2_27_(1.811),ORF1p_HS_20_(1.811),ORF1p_HS_101_(1.811)	ORF2p_PA2_29_(1.811),ORF2p_HS_85_(1.811),ORF2p_PA2_18_(1.811),ORF2p_HS_71_(1.811),ORF2p_HS_108_(1.811)	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	8	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	9	1	0	0	0	ORF1p_PA2_35_(0.029),ORF1p_HS_1_(0.029),ORF1p_HS_68_(0.029),ORF1p_PA2_4_(0.029),ORF1p_PA2_20_(0.029),ORF1p_PA2_2_(0.029)	ORF2p_PA2_25_(0.029),ORF2p_HS_101_(0.029),ORF2p_HS_120_(0.029),ORF2p_PA2_27_(0.029),ORF2p_HS_84_(0.029),ORF2p_HS_39_(0.029),ORF2p_PA2_2_(0.029),ORF2p_PA2_11_(0.029),ORF2p_HS_21_(0.029),ORF2p_PA2_28_(0.029)	c("P63132_(0.029)", "C9J7D0_(0.029)")	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	10	1	0	0	0	0	0	0	NA
PXD003271	Clear-Cell Renal Cell Carcinoma vs healthy	NA	11	1	0	0	0	0	0	0	NA
